escenario;estrategia;ingreso_bruto;gastos;ingreso_neto;base_imponible_irpf;ingreso_neto_mes;yield_bruto_s_compra;roi_neto_s_compra;roi_neto_s_inversion_total;payback_anos_s_inversion_total
pesimista;1. Residencial anual;10944.0;2555.152075;8388.847925;4194.4239625;699.0706604166667;0.04599285564194158;0.0352546666316453;0.031760960929410186;31.485193480843794
pesimista;2. Estudiantil x habitacion;8862.75;2419.870825;6442.879175;3221.4395875;536.9065979166667;0.037246270224837154;0.02707660926665266;0.02439334168166906;40.99479329441251
pesimista;3. Turistico (Airbnb/Booking);23852.448;16467.971275;7384.476725;7384.476725;615.3730604166667;0.10024142887161168;0.031033732822021435;0.027958317857676968;35.76753097559529
pesimista;4. Mixto (curso+verano turistico);12723.780906578217;5044.5878599063335;7679.193046671883;5163.601434974833;639.9327538893236;0.05347249803142768;0.03227229689712916;0.029074141348765008;34.39482487218758
base;1. Residencial anual;10944.0;2555.152075;8388.847925;4194.4239625;699.0706604166667;0.04599285564194158;0.0352546666316453;0.031760960929410186;31.485193480843794
base;2. Estudiantil x habitacion;8862.75;2419.870825;6442.879175;3221.4395875;536.9065979166667;0.037246270224837154;0.02707660926665266;0.02439334168166906;40.99479329441251
base;3. Turistico (Airbnb/Booking);31803.264;14606.673355;17196.590644999997;17196.590644999997;1433.0492204166665;0.13365523849548225;0.07226976526581214;0.06510789663586679;15.359120040273543
base;4. Mixto (curso+verano turistico);14048.916906578215;4659.522872448023;9389.394034130193;6603.686903199414;782.4495028441828;0.05904146630207277;0.0394595252537516;0.03554912185022667;28.13009008248185
optimista;1. Residencial anual;10944.0;2555.152075;8388.847925;4194.4239625;699.0706604166667;0.04599285564194158;0.0352546666316453;0.031760960929410186;31.485193480843794
optimista;2. Estudiantil x habitacion;8862.75;2419.870825;6442.879175;3221.4395875;536.9065979166667;0.037246270224837154;0.02707660926665266;0.02439334168166906;40.99479329441251
optimista;3. Turistico (Airbnb/Booking);40814.1888;9245.133067;31569.055733;31569.055733;2630.754644416667;0.1715242227358689;0.13267096336625342;0.11952339042004813;8.366563201442336
optimista;4. Mixto (curso+verano turistico);15550.737706578217;3681.823446115811;11868.914260462407;8687.642787343624;989.0761883718673;0.06535296367547054;0.04987986661257578;0.044936816768086286;22.25346768910856
